,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.0592949984565976,0.04985470680534669,0.09765617449046508,0.06399100959386293
1,3,0.07150708753258471,0.06119695223754128,0.11626181310040501,0.07752288746752967
2,6,0.07966699700010785,0.0683688584125049,0.12948951136555426,0.0864581852397487
3,9,0.08489413912633935,0.07297308340593539,0.138080185999516,0.09242510690930925
4,12,0.0892375662487088,0.07666130007892215,0.14432269451443147,0.09672590684697081
5,15,0.09216519453765057,0.07898965267569137,0.14898824393418814,0.09971726716326781
6,18,0.09383928026668842,0.08058281283147034,0.15133061563116004,0.10158877778413047
7,21,0.09510281303346772,0.08172222342964973,0.15357172041920797,0.10299586454359033
8,24,0.09653923467185178,0.08266657534789132,0.15433404036533277,0.10370302373470816
9,27,0.09684015231515906,0.08337211980692881,0.15537266212272957,0.10467565864276018
10,30,0.09770129215925093,0.08408084573525172,0.1557597483082032,0.10520930963688636
11,33,0.09811042727315591,0.0844135395009349,0.15667939873435455,0.10574801126499143
12,36,0.09853340735894324,0.0847339117608999,0.15710785020039705,0.1059686276954021
13,39,0.0987772603253079,0.08489580934567942,0.15744787132724575,0.10623529191585292
14,42,0.09876756752350282,0.08515882319412213,0.15792708039417777,0.10665033461431102
15,45,0.09882755809020129,0.08530374373188142,0.15836692866259483,0.10693183539603163
16,48,0.09884171602673722,0.08537665961959666,0.15814906999779196,0.10692542483216325
17,51,0.09891273857911688,0.08532246401140654,0.15864819487952117,0.10706997464877996
18,54,0.09910443997048843,0.08570572663595714,0.1586491905526904,0.10729965097550342
19,57,0.09952114437045845,0.08577966123825442,0.15869887686039796,0.10730293670086447
20,60,0.09912748055124868,0.08567617007373982,0.15854633372521162,0.10731136892694282
21,63,0.09954643583985008,0.08596887473163313,0.15881791557468408,0.10751649633386945
22,66,0.09968221804291869,0.08611497641672149,0.15865854467876772,0.10749793277538354
23,69,0.09943004161181834,0.08597154621887036,0.15869489485380306,0.10751249103444137
24,72,0.09965346395860031,0.08614288991328362,0.15873220408365027,0.10758744771216837
25,75,0.09982223361896472,0.08630852401182479,0.15890481695972414,0.10778820322818373
26,78,0.0996849439977046,0.08630404009719872,0.15877418254457937,0.1078363133982001
27,81,0.09948716526625122,0.08608172108205492,0.15895954204618634,0.10772174436413468
28,84,0.0997013240853568,0.08611286692662577,0.15887978857754134,0.10765346848182385
29,87,0.09942972913807367,0.08593345608634678,0.158826998702455,0.10748610130898298
30,90,0.09960032292121779,0.08609874204409035,0.15883043030235686,0.10769548725018872
31,93,0.09975028407037051,0.08616943140369662,0.1589981702463457,0.10779211641700187
32,96,0.09962192833196026,0.08603292996748184,0.15929532853628908,0.10775017472610043
33,99,0.09990440211760102,0.08622796207667438,0.1593549907452096,0.10783888859256259
34,Final,0.09990440211760102,0.08622796207667438,0.1593549907452096,0.10783888859256259
